ID,CU,G,ED,EC,E,M1,M2,M3,M4,M5,M6,D1,D2,D3,D4,D5,D6,P1,P2,P3,P4,P5,P6,SP
1,2000,F,2,Casado,24,2,2,-1,-1,-2,-2,391.3,310.2,68.9,0,0,0,0,68.9,0,0,0,0,Si
2,12000,F,2,Soltero,26,-1,2,0,0,0,2,268.2,172.5,268.2,327.2,345.5,326.1,0,100,100,100,0,200,Si
3,9000,F,2,Soltero,34,0,0,0,0,0,0,2923.9,1402.7,1355.9,1433.1,1494.8,1554.9,151.8,150,100,100,100,500,No
4,5000,F,2,Casado,37,0,0,0,0,0,0,4699,4823.3,4929.1,2831.4,2895.9,2954.7,200,201.9,120,110,106.9,100,No
5,5000,M,2,Casado,57,-1,0,-1,0,0,0,861.7,567,3583.5,2094,1914.6,1913.1,200,3668.1,1000,900,68.9,67.9,No
6,5000,M,1,Soltero,37,0,0,0,0,0,0,6440,5706.9,5760.8,1939.4,1961.9,2002.4,250,181.5,65.7,100,100,80,No
7,50000,M,1,Soltero,29,0,0,0,0,0,0,36796.5,41202.3,44500.7,54265.3,48300.3,47394.4,5500,4000,3800,2023.9,1375,1377,No
8,10000,F,2,Soltero,23,0,-1,-1,0,0,-1,1187.6,38,60.1,22.1,-15.9,56.7,38,60.1,0,58.1,168.7,154.2,No
9,14000,F,3,Casado,28,0,0,2,0,0,0,1128.5,1409.6,1210.8,1221.1,1179.3,371.9,332.9,0,43.2,100,100,100,No
10,2000,M,3,Soltero,35,-2,-2,-2,-2,-1,-1,0,0,0,0,1300.7,1391.2,0,0,0,1300.7,112.2,0,No
11,20000,F,3,Soltero,34,0,0,2,0,0,-1,1107.3,978.7,553.5,251.3,182.8,373.1,230.6,1.2,5,30,373.8,6.6,No
12,26000,F,1,Soltero,51,-1,-1,-1,-1,-1,2,1226.1,2167,996.6,851.7,2228.7,1366.8,2181.8,996.6,858.3,2230.1,0,364,No
13,63000,F,2,Soltero,41,-1,0,-1,-1,-1,-1,1213.7,650,650,650,650,287,100,650,650,650,287,0,No
14,7000,M,2,Soltero,30,1,2,2,0,0,2,6580.2,6736.9,6570.1,6678.2,3613.7,3689.4,320,0,300,300,150,0,Si
15,25000,M,1,Soltero,29,0,0,0,0,0,0,7088.7,6706,6356.1,5969.6,5687.5,5551.2,300,300,300,300,300,300,No
16,5000,F,3,Otros,23,1,2,0,0,0,0,5061.4,2917.3,2811.6,2877.1,2953.1,3021.1,0,150,110,120,130,110,No
17,2000,M,1,Soltero,24,0,0,2,2,2,2,1537.6,1801,1742.8,1833.8,1790.5,1910.4,320,0,150,0,165,0,Si
18,32000,M,1,Casado,49,0,0,0,-1,-1,-1,25328.6,24653.6,19466.3,7007.4,585.6,19559.9,1035.8,1000,7594,2000,19559.9,5000,No
19,36000,F,1,Casado,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
20,18000,F,1,Soltero,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
21,13000,F,3,Soltero,39,0,0,0,0,0,-1,3835.8,2768.8,2448.9,2061.6,1180.2,93,300,153.7,100,200,93,3376.4,No
22,12000,F,2,Casado,39,-1,-1,-1,-1,-1,-1,31.6,31.6,31.6,0,63.2,31.6,31.6,31.6,0,63.2,31.6,0,Si
23,7000,F,2,Soltero,26,2,0,0,2,2,2,4108.7,4244.5,4502,4400.6,4690.5,4601.2,200.7,358.2,0,360.1,0,182,Si
24,45000,F,1,Casado,40,-2,-2,-2,-2,-2,-2,551.2,1942,147.3,56,0,0,1942.8,147.3,56,0,0,112.8,Si
25,9000,M,1,Soltero,23,0,0,0,-1,0,0,474.4,707,0,539.8,636,829.2,575.7,0,539.8,120,204.5,200,No
